Date,Close,Open,High,Low,Volume,Code,Company,Up&Down,Rate
2009-06-30,29650,29800,30150,29300,1256544,015760,한국전력공사,150.0,0.5084745762711864
2009-07-01,30450,29350,30450,29200,1308477,015760,한국전력공사,800.0,2.6981450252951094
2009-07-02,30350,30450,30450,30000,1078385,015760,한국전력공사,-100.0,-0.3284072249589491
2009-07-03,30200,29800,30200,29650,1024512,015760,한국전력공사,-150.0,-0.4942339373970346
2009-07-06,29900,30100,30150,29500,1285773,015760,한국전력공사,-300.0,-0.9933774834437087
2009-07-07,29000,29750,29750,29000,2572833,015760,한국전력공사,-900.0,-3.0100334448160537
2009-07-08,29000,28850,29300,28500,1569728,015760,한국전력공사,0.0,0.0
2009-07-09,29150,28900,29150,28650,1495399,015760,한국전력공사,150.0,0.5172413793103449
2009-07-10,29150,28950,29150,28500,1456332,015760,한국전력공사,0.0,0.0
2009-07-13,28000,29000,29050,28000,1601151,015760,한국전력공사,-1150.0,-3.9451114922813035
2009-07-14,28300,28400,28500,28150,1156440,015760,한국전력공사,300.0,1.0714285714285714
2009-07-15,29200,28400,29200,28300,1661686,015760,한국전력공사,900.0,3.180212014134275
2009-07-16,29200,29200,29500,28700,1522024,015760,한국전력공사,0.0,0.0
2009-07-17,29300,29200,29400,29000,552148,015760,한국전력공사,100.0,0.3424657534246575
2009-07-20,30300,29350,30300,29300,2043762,015760,한국전력공사,1000.0,3.4129692832764507
2009-07-21,30850,30550,31450,30300,4278544,015760,한국전력공사,550.0,1.8151815181518154
2009-07-22,31100,31050,31700,30750,3038113,015760,한국전력공사,250.0,0.8103727714748784
2009-07-23,32300,31250,32450,31250,4857605,015760,한국전력공사,1200.0,3.858520900321544
2009-07-24,31900,32450,32500,31550,2211592,015760,한국전력공사,-400.0,-1.238390092879257
2009-07-27,32650,31900,32950,31900,2339025,015760,한국전력공사,750.0,2.3510971786833856
2009-07-28,33000,32650,33250,32250,1431171,015760,한국전력공사,350.0,1.0719754977029097
2009-07-29,33150,32750,33200,32650,1028493,015760,한국전력공사,150.0,0.45454545454545453
2009-07-30,33350,32800,33350,32700,1684566,015760,한국전력공사,200.0,0.603318250377074
2009-07-31,33300,33250,33450,32850,1804033,015760,한국전력공사,-50.0,-0.14992503748125938
2009-08-03,32900,32950,33150,32500,2133624,015760,한국전력공사,-400.0,-1.2012012012012012
2009-08-04,32300,32750,32900,31900,1983279,015760,한국전력공사,-600.0,-1.82370820668693
2009-08-05,32500,32450,32750,32300,1083726,015760,한국전력공사,200.0,0.6191950464396285
2009-08-06,32900,32500,32950,32100,1386689,015760,한국전력공사,400.0,1.2307692307692308
2009-08-07,33150,32450,33150,32400,1126776,015760,한국전력공사,250.0,0.7598784194528876
2009-08-10,33000,32950,33250,32900,1364609,015760,한국전력공사,-150.0,-0.4524886877828055
2009-08-11,32850,32600,33400,32550,1254752,015760,한국전력공사,-150.0,-0.45454545454545453
2009-08-12,32100,32450,32450,31800,2045483,015760,한국전력공사,-750.0,-2.28310502283105
2009-08-13,31300,32000,32100,31300,2729856,015760,한국전력공사,-800.0,-2.4922118380062304
2009-08-14,31700,31400,32150,31250,2715014,015760,한국전력공사,400.0,1.2779552715654952
2009-08-17,31300,31900,31900,31050,1950300,015760,한국전력공사,-400.0,-1.2618296529968454
2009-08-18,31600,31350,32000,31300,1958087,015760,한국전력공사,300.0,0.9584664536741214
2009-08-19,31550,31750,31950,31400,1377029,015760,한국전력공사,-50.0,-0.15822784810126583
2009-08-20,32200,31450,32200,31200,1364802,015760,한국전력공사,650.0,2.0602218700475436
2009-08-21,32100,31950,32250,31500,1336946,015760,한국전력공사,-100.0,-0.3105590062111801
2009-08-24,32350,32100,32400,31850,1598046,015760,한국전력공사,250.0,0.778816199376947
2009-08-25,31800,32350,32500,31750,1210442,015760,한국전력공사,-550.0,-1.7001545595054095
2009-08-26,32000,31600,32000,31300,1797070,015760,한국전력공사,200.0,0.628930817610063
2009-08-27,31650,31750,32100,31450,1034653,015760,한국전력공사,-350.0,-1.09375
2009-08-28,31700,31600,31950,31250,1138510,015760,한국전력공사,50.0,0.1579778830963665
2009-08-31,31350,31650,31650,31200,1120143,015760,한국전력공사,-350.0,-1.1041009463722398
2009-09-01,32100,31250,32150,31150,1830215,015760,한국전력공사,750.0,2.3923444976076556
2009-09-02,32100,31450,32150,31350,1348689,015760,한국전력공사,0.0,0.0
2009-09-03,32600,31850,32700,31800,2340939,015760,한국전력공사,500.0,1.557632398753894
2009-09-04,32850,32650,33000,32300,1939243,015760,한국전력공사,250.0,0.7668711656441718
2009-09-07,32150,32850,33000,32150,1445141,015760,한국전력공사,-700.0,-2.13089802130898
2009-09-08,32050,32300,32400,31700,1084002,015760,한국전력공사,-100.0,-0.3110419906687403
2009-09-09,31800,31800,32000,31500,1310283,015760,한국전력공사,-250.0,-0.7800312012480499
2009-09-10,32200,31950,32500,31800,2596425,015760,한국전력공사,400.0,1.257861635220126
2009-09-11,33150,32000,33250,31800,2398266,015760,한국전력공사,950.0,2.950310559006211
2009-09-14,33600,33350,34200,33150,2525053,015760,한국전력공사,450.0,1.3574660633484164
2009-09-15,33650,33550,34000,33550,1623397,015760,한국전력공사,50.0,0.1488095238095238
2009-09-16,34000,33550,34350,33200,2386597,015760,한국전력공사,350.0,1.040118870728083
2009-09-17,34350,34500,35000,34000,3772016,015760,한국전력공사,350.0,1.0294117647058822
2009-09-18,34800,34650,35300,34200,3368717,015760,한국전력공사,450.0,1.3100436681222707
2009-09-21,34900,34800,35250,34500,1489502,015760,한국전력공사,100.0,0.28735632183908044
2009-09-22,34850,34700,35350,34700,1481158,015760,한국전력공사,-50.0,-0.14326647564469913
2009-09-23,35150,35100,35750,35000,1548845,015760,한국전력공사,300.0,0.860832137733142
2009-09-24,35550,35550,36150,35150,2966856,015760,한국전력공사,400.0,1.1379800853485065
2009-09-25,35400,35450,35500,35050,1726007,015760,한국전력공사,-150.0,-0.42194092827004215
2009-09-28,35100,34950,35350,34500,1493779,015760,한국전력공사,-300.0,-0.847457627118644
2009-09-29,35400,35100,35800,35100,1514090,015760,한국전력공사,300.0,0.8547008547008548
2009-09-30,35800,35350,36000,35200,2109064,015760,한국전력공사,400.0,1.1299435028248588
2009-10-01,35700,35500,35900,35350,1294636,015760,한국전력공사,-100.0,-0.27932960893854747
2009-10-05,35200,34950,35300,34500,2087361,015760,한국전력공사,-500.0,-1.400560224089636
2009-10-06,34850,34950,35050,34650,1677654,015760,한국전력공사,-350.0,-0.9943181818181818
2009-10-07,34900,34900,35400,34850,1637802,015760,한국전력공사,50.0,0.1434720229555237
2009-10-08,35000,34900,35200,34800,1496667,015760,한국전력공사,100.0,0.28653295128939826
2009-10-09,35050,35150,35200,34800,1180975,015760,한국전력공사,50.0,0.14285714285714285
2009-10-12,34900,35100,35500,34550,1551364,015760,한국전력공사,-150.0,-0.42796005706134094
2009-10-13,34600,34700,34750,34250,1550484,015760,한국전력공사,-300.0,-0.8595988538681949
2009-10-14,34800,34300,35150,34300,1291702,015760,한국전력공사,200.0,0.5780346820809248
2009-10-15,35050,34600,35250,34500,1102565,015760,한국전력공사,250.0,0.7183908045977011
2009-10-16,35250,35050,36000,35000,1918950,015760,한국전력공사,200.0,0.5706134094151213
2009-10-19,35350,35350,35650,34650,1205092,015760,한국전력공사,100.0,0.28368794326241137
2009-10-20,35650,35600,35900,35350,1080259,015760,한국전력공사,300.0,0.8486562942008486
2009-10-21,35600,35450,36000,35250,1249364,015760,한국전력공사,-50.0,-0.1402524544179523
2009-10-22,35600,35400,35850,35350,1028137,015760,한국전력공사,0.0,0.0
2009-10-23,35250,35600,35600,35100,1858885,015760,한국전력공사,-350.0,-0.9831460674157303
2009-10-26,35350,35100,35450,34950,1182093,015760,한국전력공사,100.0,0.28368794326241137
2009-10-27,34900,35100,35300,34550,1653085,015760,한국전력공사,-450.0,-1.272984441301273
2009-10-28,34850,34550,35000,34350,1185685,015760,한국전력공사,-50.0,-0.14326647564469913
2009-10-29,34350,34050,34350,33900,2509757,015760,한국전력공사,-500.0,-1.4347202295552368
2009-10-30,34000,34450,34500,33750,2414928,015760,한국전력공사,-350.0,-1.0189228529839884
2009-11-02,33600,33200,33650,33100,2298616,015760,한국전력공사,-400.0,-1.1764705882352942
2009-11-03,33300,33400,33850,33100,1380341,015760,한국전력공사,-300.0,-0.8928571428571428
2009-11-04,33550,33600,33750,33350,1081673,015760,한국전력공사,250.0,0.7507507507507507
2009-11-05,33450,33500,33650,33150,889979,015760,한국전력공사,-100.0,-0.29806259314456035
2009-11-06,33600,33650,33700,33050,1065695,015760,한국전력공사,150.0,0.4484304932735426
2009-11-09,33600,33500,34050,33350,969894,015760,한국전력공사,0.0,0.0
2009-11-10,33550,33650,34000,33450,1246907,015760,한국전력공사,-50.0,-0.1488095238095238
2009-11-11,33650,33850,34050,33500,828215,015760,한국전력공사,100.0,0.29806259314456035
